Community areas_Name,GEOID,Life Expectancy,Population,Longitude,Latitude,Employer Health Ins. (%),Dental Cleanings (%),Personal Doctor (%),Routine Checkup (%),HIV Care Link (%),HIV Viral Load Suppressed (%),Medicaid Coverage (%),Specialist Physicians (Num),Uninsured Residents (%),VA Health Coverage (%),Adequate Prenatal Care (%),1st Trimester Prenatal Care (%),Healthcare Satisfaction (%),Easy Access to Care (%),Binge Drinking (%),Easy Fruit/Veg Access (%),Fruit/Veg Daily (%),No Physical Activity (%),Daily Sugary Drinks (%),Teen Birth Rate,E-Cigarette Use (%),Current Smokers (%),Maternal Smoking (%),Social Vulnerability Index (SVI),Household Composition,Proximity to Hazards (%),Eviction Rate (%),Seniors Living Alone (%),Unemployment Rate (%),Economic Diversity Index,Hardship Index,Median Income,Poverty Rate (%),Child Opportunity Index (Overall),COI - Socioeconomic Domain,COI - Education Domain,COI - Health & Environment Domain
Jefferson Park,11,80.28693648,26201,-87.771165,41.978836,65.07123106,78.95756537,77.95192877,71.99694727,,61.90476,11.97358439,7.984476,7.013656883,1.407305706,81.967213,77.509434,54.22083919,74.8071464,45.66750862,62.56132324,35.94371067,23.67562284,22.58466726,4.6580686,,9.552193948,0.9352518,42.97300355,10733.2006,72.07992135,0.561007351,32.52121504,5.362913613,0.717773499,32.02299149,95955.59048,5.948472997,52.61859329,52.94766123,62.28172648,35.65443692
Forest Glen,12,82.39595435,19579,-87.758358,41.993938,66.62920907,81.43835841,91.84275059,81.74041349,0,70.83333,7.052427208,18.935425,6.171336031,1.150068648,85.148515,82.649472,73.49153698,91.28333878,29.07652559,81.81842939,32.02117604,18.62743597,12.50323593,0.6945168,,,0.6586169,21.94544231,7030.994375,68.44779046,0.889855021,26.86877155,4.399840301,0.511407446,13.08756116,142351.1089,4.221761675,84.87387301,84.62835898,84.34247101,68.79652101
North Park,13,81.12446441,17522,-87.723578,41.983651,48.21428473,57.40509583,90.96662488,70.49827037,,78.37838,27.5752188,7.325632,10.20893016,0.189308915,77.44898,72.682446,57.58681782,80.17625624,20.06629231,58.80818672,41.95342212,16.40483007,27.36218554,3.6402024,,8.491572588,1.0377358,71.65341865,6791.141576,43.65519499,0.311318338,29.99395708,4.271074521,0.761066554,66.32041499,68943.20226,16.43445881,44.27672475,38.5037832,63.72496835,38.90344596
Albany Park,14,80.71656419,48549,-87.721558,41.968078,45.15023958,56.32768605,85.52924432,83.43761037,100,71.6895,23.47093328,2.206647,18.83759543,0.596610063,73.817035,69.35241,51.29292858,79.36134521,29.46277947,45.42030143,37.56826312,28.68394345,8.67694707,12.382368,12.2241728,10.68843926,0.5366726,72.61131705,17147.60762,65.01976826,0.511247029,19.89182334,6.504810693,0.760550901,59.53427043,83578.4243,13.61895081,35.46690377,35.38011303,47.92908496,21.31464211
Portage Park,15,80.16717719,63038,-87.763401,41.954043,56.14457154,67.43248034,84.78246507,72.44489643,87.5,72.89157,18.6745403,50.927558,12.55188324,0.735340715,77.965571,74.548736,61.31943876,80.24880211,33.70902093,57.62988211,32.75758365,32.01137173,24.55545173,9.3946962,,4.423357646,1.1807703,59.57612435,23002.17629,61.09309415,0.627399066,27.85455809,4.531794461,0.748033386,45.33360428,89727.8468,9.688275443,38.93891512,44.13650519,40.6095253,21.96182201
Irving Park,16,81.29441083,51911,-87.723457,41.953589,61.48884717,60.92363523,70.1596175,68.00067936,87.5,68.24034,16.98553218,10.950692,10.18462645,0.544200399,78.278689,77.163375,45.69710009,75.61089986,29.29592957,58.1750221,28.74088924,28.72429838,17.20007723,11.731242,,7.963065149,0.7936508,59.76469079,21812.43456,72.06738275,0.608040947,28.2330848,6.225681158,0.710696557,45.75791809,89589.08389,10.53274037,43.08631007,50.00085904,37.5167961,32.62270926
Dunning,17,80.13487151,43120,-87.806015,41.946522,61.22882993,77.00720128,88.39794913,85.15645621,0,80,16.16473248,16.011487,8.340185888,1.244978104,79.168915,75.782881,49.24927709,76.35735759,31.3029922,67.50858305,33.37578858,29.31998883,18.55833787,7.3519583,,3.200225818,1.2864918,44.31298528,16188.40895,46.64687803,0.504714497,27.38494991,5.414150284,0.762934325,45.28888763,84669.03587,8.64930645,44.90228863,48.12452044,47.15026917,31.60848129
Montclare,18,81.17379197,14412,-87.798033,41.929306,57.60144881,54.98288819,89.43623727,73.91400875,,69.44444,23.45360365,13.998943,6.64456287,1.85865303,74.631751,73.692552,57.10993392,66.30693535,34.5254634,58.23564668,23.90212086,40.86254048,24.75301133,9.1227733,,3.900422676,0.7342144,79.50715749,4769.577285,72.07653721,1.02291784,24.19150523,3.954944267,0.774643693,60.46947664,77047.40608,9.986571583,29.80610278,28.82513501,34.09154419,29.62680664
Belmont Cragin,19,80.18447108,78151,-87.765502,41.927275,42.16616362,51.98785104,76.85966669,68.97456635,100,62.06897,29.86000285,7.064254,17.19195714,0.860433128,70.419948,68.680765,51.4513508,64.16879512,29.79657569,54.56093235,31.12196839,45.56528137,26.23349592,15.662347,5.71644623,7.084037853,0.8857597,80.05660141,23084.95902,59.19061803,0.565279097,24.41352928,5.012924206,0.796933602,81.88700346,67748.79791,14.86186868,18.57793615,19.22988108,23.77969463,15.3666088
Hermosa,20,80.40595537,24127,-87.734741,41.924353,43.42781638,56.93824453,63.99893767,72.9558411,,58.69565,27.77369435,1.99782,17.04554834,0.354032292,70.549085,71.371611,36.76767315,68.96124425,30.48512957,40.38295112,30.21486235,47.11687267,31.14432412,16.584453,9.176678043,8.148599736,1.0351967,81.14962245,7431.239509,72.01336612,0.506470924,11.119793,5.780764747,0.794482975,82.40684021,66919.50326,15.27854772,18.83604668,22.4547404,16.57928351,15.19678932
